id,name,doro,old-doro,man_dae,man_so,man2_dae,man2_so,woman,woman2,latitude,longitude
155,호산시장 화장실,강원도 삼척시 호산중앙로 10-1,강원도 삼척시 원덕읍 호산리 207-75,3,3,1,1,3,1,37.17500535,129.3354337
156,호산항 공동화장실,강원도 삼척시 호산3길 134,강원도 삼척시 원덕읍 호산리 338-12,2,3,0,1,5,1,37.17547378,129.3423858
157,교가주유소,강원도 삼척시 근덕면 삼척로 3559,강원도 삼척시 근덕면 교가리 251-1,1,2,0,0,1,0,37.37198167,129.2272475
158,궁촌항 공동화장실,,강원도 삼척시 근덕면 궁촌리 213-14,1,2,0,0,3,0,37.32787124,129.2697813
159,근덕면복지회관,강원도 삼척시 근덕면 교가2길 15,강원도 삼척시 근덕면 교가리 378-3,2,2,0,0,4,0,37.38078565,129.2278435
160,근덕면사무소,강원도 삼척시 근덕면 삼척로 3639,강원도 삼척시 근덕면 교가리 661-1,4,5,0,0,5,2,37.37914216,129.2257486
161,근덕보건지소,강원도 삼척시 근덕면 교가2길 10,강원도 삼척시 근덕면 교가리 1273-5,1,1,0,0,2,0,37.38044983,129.2283585
162,근덕종합문화센터,강원도 삼척시 근덕면 맹방해변로 35,강원도 삼척시 근덕면 교가리 390-1,2,2,0,0,4,0,37.3825858,129.2293104
163,금메달광장,강원도 삼척시 근덕면 삼척로 2771,강원도 삼척시 근덕면 매원리 126-3,5,10,0,0,8,1,37.31777274,129.2712452
164,금메달주유소,강원도 삼척시 근덕면 삼척로 2771,강원도 삼척시 근덕면 매원리 126-3,1,1,0,0,1,0,37.31777274,129.2712452
165,농업기술센터,강원도 삼척시 근덕면 맹방해변로 49,강원도 삼척시 근덕면 교가리 424-85,1,4,0,0,3,4,37.38363222,129.229091
166,대진주유소,강원도 삼척시 근덕면 삼척로 3071,강원도 삼척시 근덕면 동막리 343-8,1,2,0,0,1,0,37.33330979,129.2462711
167,대진항 공동화장실,,강원도 삼척시 근덕면 동막리 104-11,1,2,0,0,3,0,37.34889123,129.2602912
168,덕번주유소,강원도 삼척시 근덕면 삼척로 3349,강원도 삼척시 근덕면 광태리 100-4,1,3,0,0,4,0,37.35478057,129.2339554
169,덕산항 공동화장실,강원도 삼척시 근덕면 덕산해안로 200-23,강원도 삼척시 근덕면 덕산리 4-10,1,1,1,1,2,1,37.37776416,129.2534195
170,덕산해수욕장 화장실,강원도 삼척시 덕산해변길 114,강원도 삼척시 근덕면 덕산리107-103,3,4,0,0,6,0,37.38584811,129.2409724
171,맹방해수욕장A,강원도 삼척시 근덕면 맹방해변로 228-201,강원도 삼척시 근덕면 하맹방리 221-20,3,4,1,1,7,1,37.38846737,129.234493
172,맹방해수욕장B,강원도 삼척시 근덕면 맹방해변로 228-201,강원도 삼척시 근덕면 하맹방리 221-20,3,4,1,0,7,1,37.38846737,129.234493
173,맹방해수욕장C,강원도 삼척시 근덕면 맹방해변로 228-201,강원도 삼척시 근덕면 하맹방리 221-20,3,4,1,1,7,1,37.38846737,129.234493
174,명성주유소(근덕주유소),강원도 삼척시 근덕면 삼척로 3393,강원도 삼척시 근덕면 광태리 192-3,3,1,0,0,3,0,37.35816713,129.2310544
175,민물고기전시관,강원도 삼척시 근덕면 초당길 234,강원도 삼척시 근덕면 하맹방리 829,1,2,0,0,3,0,37.38769134,129.1966788
176,산림조합주유소,강원도 삼척시 근덕면 삼척로 3840,강원도 삼척시 근덕면 상맹방리 5-6,1,1,0,0,2,0,37.39515987,129.21667
177,삼척해상케이블카 용화역,강원도 삼척시 근덕면 삼척로 2154-31,강원도 삼척시 근덕면 용화리 6,6,8,1,0,13,1,37.28909394,129.3084913
178,동굴신비관,"강원도 삼척시 엑스포로 69, 동굴신비관 (성남동)",강원도 삼척시 성남동 168-3 동굴신비관,5,6,1,0,8,1,,
179,해양레일바이크 용화 1주차장,"강원도 삼척시 근덕면 용화해변길 23, 해양레일바이크",강원도 삼척시 근덕면 용화리 14-5 해양레일바이크,3,2,1,1,5,1,,
180,도계 전두시장 화장실,강원도 삼척시 도계읍 전두시장길 16-3,강원도 삼척시 도계읍 전두리 181-70,2,3,1,0,5,1,,
181,용화 특산물 판매장 화장실,"강원도 삼척시 근덕면 삼척로 2210-6, 용화 특산물판매장",강원도 삼척시 근덕면 용화리 223 용화 특산물판매장,1,2,1,0,2,1,,
182,삼척시민체육관 화장실,"강원도 삼척시 뒷나루길 153, 삼척시민체육관 (교동)",강원도 삼척시 교동 산 208 삼척시민체육관,20,29,6,0,40,3,,
